"date","close","volume","open","high","low"
"2018-10-15T00:00:00","259.5900","6189026.0000","259.0600","263.2800","254.5367"
"2018-10-12T00:00:00","258.7800","7189257.0000","261.0000","261.9900","252.0100"
"2018-10-11T00:00:00","252.2300","8128184.0000","257.5300","262.2500","249.0300"
"2018-10-10T00:00:00","256.8800","12781560.0000","264.6100","265.5100","247.7700"
"2018-10-09T00:00:00","262.8000","12037780.0000","255.2500","266.7700","253.3000"
"2018-10-08T00:00:00","250.5600","13371180.0000","264.5200","267.7599","249.0000"
"2018-10-05T00:00:00","261.9500","17900710.0000","274.6500","274.8800","260.0000"
"2018-10-04T00:00:00","281.8300","9638885.0000","293.9500","294.0000","277.6700"
"2018-10-03T00:00:00","294.8000","7982272.0000","303.3300","304.6000","291.5700"
"2018-10-02T00:00:00","301.0200","11699690.0000","313.9500","316.8400","299.1500"
"2018-10-01T00:00:00","310.7000","21714210.0000","305.7700","311.4400","301.0500"
"2018-09-28T00:00:00","264.7700","33597290.0000","270.2600","278.0000","260.5550"
"2018-09-27T00:00:00","307.5200","7337760.0000","312.9000","314.9600","306.9100"
"2018-09-26T00:00:00","309.5800","7835863.0000","301.9100","313.8900","301.1093"
"2018-09-25T00:00:00","300.9900","4472287.0000","300.0000","304.6000","296.5000"
"2018-09-24T00:00:00","299.6800","4834384.0000","298.4800","302.9993","293.5800"
"2018-09-21T00:00:00","299.1000","5038497.0000","297.7000","300.5800","295.3700"
"2018-09-20T00:00:00","298.3300","7332477.0000","303.5600","305.9800","293.3300"
"2018-09-19T00:00:00","299.0200","8264353.0000","280.5100","300.0000","280.5000"
"2018-09-18T00:00:00","284.9600","16494280.0000","296.6900","302.6400","275.5000"
"2018-09-17T00:00:00","294.8400","6866208.0000","290.0400","300.8700","288.1300"
"2018-09-14T00:00:00","295.2000","6757652.0000","288.7600","297.3256","286.5200"
"2018-09-13T00:00:00","289.4600","6333281.0000","288.0200","295.0000","285.1800"
"2018-09-12T00:00:00","290.5400","10002150.0000","281.4400","292.5000","278.6463"
"2018-09-11T00:00:00","279.4400","9161061.0000","279.4700","282.0000","273.5500"
"2018-09-10T00:00:00","285.5000","14232250.0000","273.2600","286.0300","271.0000"
"2018-09-07T00:00:00","263.2400","22442310.0000","260.1000","268.3500","252.2548"
"2018-09-06T00:00:00","280.9500","7472756.0000","284.8000","291.1700","278.8800"
"2018-09-05T00:00:00","280.7400","7707342.0000","285.0500","286.7800","277.1800"
"2018-09-04T00:00:00","288.9500","8304571.0000","296.9400","298.1900","288.0000"
"2018-08-31T00:00:00","301.6600","5367048.0000","302.0000","305.3082","298.6000"
"2018-08-30T00:00:00","303.1500","7210625.0000","302.2600","304.6000","297.7200"
"2018-08-29T00:00:00","305.0100","7410538.0000","310.2700","311.8500","303.6900"
"2018-08-28T00:00:00","311.8600","7639453.0000","318.4100","318.8800","311.1900"
"2018-08-27T00:00:00","319.2700","13062650.0000","318.0000","322.4350","308.8100"
"2018-08-24T00:00:00","322.8200","3592734.0000","320.7000","323.8500","319.4000"
"2018-08-23T00:00:00","320.1000","5138685.0000","319.1400","327.3200","318.1000"
"2018-08-22T00:00:00","321.6400","5935853.0000","320.8700","323.8800","314.6700"
"2018-08-21T00:00:00","321.9000","13147770.0000","310.6100","324.7900","309.0000"
"2018-08-20T00:00:00","308.4400","17380430.0000","291.7040","308.5000","288.2000"
"2018-08-17T00:00:00","305.5000","18895880.0000","323.5000","326.7700","303.5300"
"2018-08-16T00:00:00","335.4500","6045392.0000","339.9100","342.2800","333.8200"
"2018-08-15T00:00:00","338.6900","9073033.0000","341.9060","344.4900","332.1400"
"2018-08-14T00:00:00","347.6400","6948511.0000","358.4500","359.1995","347.1000"
"2018-08-13T00:00:00","356.4100","10444920.0000","361.1300","363.1900","349.0200"
"2018-08-10T00:00:00","355.4900","11530510.0000","354.0000","360.0000","346.0000"
"2018-08-09T00:00:00","352.4500","16951800.0000","365.5500","367.0100","345.7300"
"2018-08-08T00:00:00","370.3400","24535420.0000","369.0900","382.6400","367.1200"
"2018-08-07T00:00:00","379.5700","30596400.0000","343.8400","387.4600","339.1501"
"2018-08-06T00:00:00","341.9900","8536766.0000","345.4600","354.9800","341.8200"
"2018-08-03T00:00:00","348.1700","13646640.0000","347.8100","355.0000","342.5300"
"2018-08-02T00:00:00","349.5400","23159160.0000","328.4400","349.9900","323.1600"
"2018-08-01T00:00:00","300.8400","8768099.0000","297.9900","303.0000","293.0000"
"2018-07-31T00:00:00","298.1400","5055094.0000","292.2500","298.3200","289.0700"
"2018-07-30T00:00:00","290.1700","6799581.0000","295.9000","296.1000","286.1300"
"2018-07-27T00:00:00","297.1800","5694690.0000","307.2500","307.6933","295.3404"
"2018-07-26T00:00:00","306.6500","4619567.0000","304.8500","310.7000","303.6411"
"2018-07-25T00:00:00","308.7400","7031382.0000","296.7400","309.6200","294.5025"
"2018-07-24T00:00:00","297.4300","9586186.0000","304.4209","307.7171","292.5452"
"2018-07-23T00:00:00","303.2000","10974820.0000","301.8400","305.5000","292.8601"
"2018-07-20T00:00:00","313.5800","5159831.0000","321.2300","323.2400","311.7093"
"2018-07-19T00:00:00","320.2300","5907116.0000","316.3300","323.5400","314.0100"
"2018-07-18T00:00:00","323.8500","5610085.0000","325.0000","325.5000","316.2500"
"2018-07-17T00:00:00","322.6900","6987782.0000","308.8100","324.7400","308.5000"
"2018-07-16T00:00:00","310.1000","7800454.0000","311.7100","315.1600","306.2500"
"2018-07-13T00:00:00","318.8700","5866776.0000","315.5800","319.5849","309.2500"
"2018-07-12T00:00:00","316.7100","5711851.0000","321.4300","323.2300","312.7700"
"2018-07-11T00:00:00","318.9600","4878595.0000","315.8000","321.9400","315.0700"
"2018-07-10T00:00:00","322.4700","9437557.0000","324.5600","327.6771","319.2000"
"2018-07-09T00:00:00","318.5100","7579541.0000","311.9900","318.5200","308.0000"
"2018-07-06T00:00:00","308.9000","8860198.0000","304.9550","312.0700","302.0000"
"2018-07-05T00:00:00","309.1600","17457570.0000","313.7600","314.3900","296.2200"
"2018-07-03T00:00:00","310.8600","12282640.0000","331.7500","332.4900","309.6900"
"2018-07-02T00:00:00","335.0700","18732710.0000","360.0700","364.7800","329.8500"
"2018-06-29T00:00:00","342.9500","6475903.0000","353.3300","353.8600","342.4100"
"2018-06-28T00:00:00","349.9300","8388172.0000","348.6600","357.0200","346.1100"
"2018-06-27T00:00:00","344.5000","8313817.0000","345.0000","350.7900","339.5000"
"2018-06-26T00:00:00","342.0000","7434749.0000","336.0540","343.5500","325.7990"
"2018-06-25T00:00:00","333.0100","6925089.0000","330.1200","338.4700","327.5000"
"2018-06-22T00:00:00","333.6300","10253770.0000","351.5400","352.2500","332.0000"
"2018-06-21T00:00:00","347.5100","7949846.0000","362.0000","366.2139","346.2700"
"2018-06-20T00:00:00","362.2200","8370268.0000","358.0400","364.3800","352.0000"
"2018-06-19T00:00:00","352.5500","12734840.0000","365.1600","370.0000","346.2500"
"2018-06-18T00:00:00","370.8300","12025450.0000","355.4000","373.7300","354.5000"
"2018-06-15T00:00:00","358.1700","10827560.0000","353.8400","364.6700","351.2500"
"2018-06-14T00:00:00","357.7200","10961150.0000","347.6300","358.7500","346.6000"
"2018-06-13T00:00:00","344.7800","9401467.0000","346.7060","347.2000","339.8000"
"2018-06-12T00:00:00","342.7700","22256430.0000","344.7000","354.9700","338.0000"
"2018-06-11T00:00:00","332.1000","13166050.0000","322.5100","334.6600","322.5000"
"2018-06-08T00:00:00","317.6600","8192175.0000","319.0000","324.4800","317.1500"
"2018-06-07T00:00:00","316.0900","14336110.0000","316.1500","330.0000","313.5800"
"2018-06-06T00:00:00","319.5000","18742400.0000","300.5000","322.1700","297.4800"
"2018-06-05T00:00:00","291.1300","5877873.0000","297.7000","297.8000","286.7400"
"2018-06-04T00:00:00","296.7400","4793787.0000","294.3400","299.0000","293.5480"
"2018-06-01T00:00:00","291.8200","5417984.0000","285.8600","291.9500","283.8390"
"2018-05-31T00:00:00","284.7300","5912825.0000","287.2100","290.3700","282.9300"
"2018-05-30T00:00:00","291.7200","7473590.0000","283.2900","295.0050","281.6000"
"2018-05-29T00:00:00","283.7600","5657153.0000","278.5100","286.5000","276.1500"
"2018-05-25T00:00:00","278.8500","3872621.0000","277.6250","279.6400","275.6100"
"2018-05-24T00:00:00","277.8500","4170789.0000","278.4000","281.1100","274.8900"
"2018-05-23T00:00:00","279.0700","5972237.0000","277.7600","279.9099","274.0000"
"2018-05-22T00:00:00","275.0100","8938501.0000","287.7620","288.0000","273.4220"
"2018-05-21T00:00:00","284.4900","9167844.0000","281.3300","291.4900","281.3000"
"2018-05-18T00:00:00","276.8200","7243699.0000","284.6500","284.6500","274.0000"
"2018-05-17T00:00:00","284.5400","4418258.0000","285.9000","289.1873","283.9700"
"2018-05-16T00:00:00","286.4800","5669644.0000","283.8300","288.8100","281.5600"
"2018-05-15T00:00:00","284.1800","9509753.0000","285.0100","286.9600","280.5000"
"2018-05-14T00:00:00","291.9700","7265501.0000","303.3200","304.9400","291.6200"
"2018-05-11T00:00:00","301.0600","4665321.0000","307.7000","308.8800","299.0800"
"2018-05-10T00:00:00","305.0200","5642771.0000","307.4997","312.9900","304.1119"
"2018-05-09T00:00:00","306.8500","5712255.0000","300.4100","307.0100","300.0500"
"2018-05-08T00:00:00","301.9700","5927447.0000","300.7950","307.7500","299.0000"
"2018-05-07T00:00:00","302.7700","8673090.0000","297.5000","305.9588","295.1700"
